,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
608,Renault Duster,"1,02,000 km",Diesel,Manual,Rs. 7.1 Lakh,Pune,2017,Renault
609,Maruti Suzuki Ertiga,"90,000 km",Diesel,Manual,Rs. 7.5 Lakh,Pune,2013,Maruti
610,Maruti Suzuki Ciaz,"90,000 km",Diesel,Manual,Rs. 7.8 Lakh,Pune,2017,Maruti
611,Mahindra Scorpio,"1,10,000 km",Diesel,Manual,Rs. 8.61 Lakh,Pune,2014,Mahindra
612,Maruti Suzuki Ertiga,"1,74,754 km",Petrol,Manual,Rs. 9 Lakh,Pune,2018,Maruti
613,Mercedes-Benz B-Class,"1,35,000 km",Diesel,Automatic,Rs. 12.99 Lakh,Pune,2015,Mercedes-Benz
614,Mahindra XUV500,"74,404 km",Diesel,Manual,Rs. 12.99 Lakh,Pune,2018,Mahindra
615,Mahindra XUV500,"76,000 km",Diesel,Manual,Rs. 14.8 Lakh,Pune,2019,Mahindra
616,Honda City ZX,"50,000 km",Petrol,Manual,Rs. 2.75 Lakh,Pune,2008,Honda
617,Toyota Etios,"1,20,000 km",Petrol,Manual,Rs. 3.6 Lakh,Pune,2012,Toyota
618,Skoda Rapid,"1,24,654 km",Diesel,Manual,Rs. 5.35 Lakh,Pune,2016,Skoda
619,Mahindra XUV500,"1,40,000 km",Diesel,Manual,Rs. 4.71 Lakh,Pune,2012,Mahindra
620,Skoda Rapid,"71,655 km",Petrol,Automatic,Rs. 7.25 Lakh,Pune,2017,Skoda
621,Jeep Compass,"93,235 km",Diesel,Manual,Rs. 12.49 Lakh,Pune,2017,Jeep
622,Volkswagen Vento,"48,000 km",Petrol,Manual,Rs. 6.71 Lakh,Pune,2017,Volkswagen
623,Hyundai i10,"74,000 km",Petrol,Manual,Rs. 2.5 Lakh,Pune,2010,Hyundai
624,Mahindra Verito,"1,12,000 km",Diesel,Manual,Rs. 2.61 Lakh,Pune,2012,Mahindra
625,Hyundai i10,"55,000 km",Petrol,Manual,Rs. 2.5 Lakh,Pune,2011,Hyundai
626,Maruti Suzuki Omni,"93,000 km",Petrol,Manual,Rs. 2.95 Lakh,Pune,2017,Maruti
627,Volkswagen Polo,"40,000 km",Diesel,Manual,Rs. 5.35 Lakh,Pune,2016,Volkswagen
628,Maruti Suzuki Ertiga,"1,23,000 km",Diesel,Manual,Rs. 6.5 Lakh,Pune,2014,Maruti
629,Honda City,"29,960 km",Petrol,Automatic,Rs. 8.75 Lakh,Thane,2019,Honda
630,Maruti Suzuki Swift DZire,"46,569 km",Petrol,AMT,Rs. 6.35 Lakh,Thane,2017,Maruti
631,Maruti Suzuki Wagon R,"66,113 km",Petrol,AMT,Rs. 3.95 Lakh,Thane,2016,Maruti
632,Hyundai New Santro,"28,683 km",Petrol,AMT,Rs. 4.85 Lakh,Thane,2018,Hyundai
633,Maruti Suzuki Baleno,"27,021 km",Petrol,Automatic,Rs. 6.75 Lakh,Thane,2018,Maruti
634,Skoda Rapid,"9,638 km",Petrol,Automatic,Rs. 7.95 Lakh,Thane,2018,Skoda
635,Tata Altroz,"20,190 km",Petrol,Manual,Rs. 7.95 Lakh,Thane,2022,Tata
636,Honda WR-V,"20,840 km",Petrol,Manual,Rs. 8.25 Lakh,Thane,2020,Honda
637,Maruti Suzuki S-Cross,"22,485 km",Petrol,Automatic,Rs. 9.95 Lakh,Thane,2021,Maruti
638,Hyundai Venue,"23,683 km",Diesel,Manual,Rs. 10.95 Lakh,Thane,2021,Hyundai
639,Maruti Suzuki XL6,"21,577 km",Petrol,Automatic,Rs. 11.95 Lakh,Thane,2021,Maruti
640,Mahindra Marazzo,"7,798 km",Diesel,Manual,Rs. 13.75 Lakh,Thane,2022,Mahindra
641,Maruti Suzuki Wagon R,"47,847 km",Petrol+CNG,Manual,Rs. 3.45 Lakh,Thane,2014,Maruti
642,Maruti Suzuki S-Presso,"31,178 km",Petrol,Manual,Rs. 4.95 Lakh,Thane,2020,Maruti
643,Maruti Suzuki Baleno,"40,442 km",Petrol,Manual,Rs. 5.35 Lakh,Thane,2017,Maruti
644,Hyundai i20,"37,360 km",Petrol,Manual,Rs. 5.95 Lakh,Thane,2017,Hyundai
645,Renault Kiger,"33,036 km",Petrol,AMT,Rs. 7.75 Lakh,Thane,2022,Renault
646,Honda WR-V,"41,845 km",Petrol,Manual,Rs. 7.75 Lakh,Thane,2018,Honda
647,Tata Nexon,"49,616 km",Petrol,Manual,Rs. 7.95 Lakh,Thane,2020,Tata
